Combination,Accuracy,Experiment
S4vsS2,69.69,kNN-GIST
S4vsS3,56.76,kNN-GIST
S4vsS4,98.28,kNN-GIST
S4vsS5,28.63,kNN-GIST
S5vsS1,34.32,kNN-GIST
S5vsS2,33.65,kNN-GIST
S5vsS3,26.73,kNN-GIST
S5vsS4,32.47,kNN-GIST
S5vsS5,99.18,kNN-GIST
S1vsS1,82.55,kNN-ESF
S1vsS2,57.35,kNN-ESF
S1vsS3,54.05,kNN-ESF
S1vsS4,59.79,kNN-ESF
S1vsS5,34.0,kNN-ESF
S2vsS1,58.48,kNN-ESF
S2vsS2,91.83,kNN-ESF
S2vsS3,65.3,kNN-ESF
S2vsS4,65.3,kNN-ESF
S2vsS5,30.25,kNN-ESF
S3vsS1,55.88,kNN-ESF
S3vsS2,63.49,kNN-ESF
S3vsS3,90.88,kNN-ESF
S3vsS4,62.31,kNN-ESF
S3vsS5,29.3,kNN-ESF
S4vsS1,60.95,kNN-ESF
S4vsS2,61.04,kNN-ESF
S4vsS3,67.7,kNN-ESF
S4vsS4,93.41,kNN-ESF
S4vsS5,32.24,kNN-ESF
S5vsS1,44.45,kNN-ESF
S5vsS2,39.24,kNN-ESF
S5vsS3,38.66,kNN-ESF
S5vsS4,36.88,kNN-ESF
S5vsS5,95.14,kNN-ESF
S1vsS1,94.35,kNN-Clarifai
S1vsS2,66.19,kNN-Clarifai
S1vsS3,57.65,kNN-Clarifai
S1vsS4,64.65,kNN-Clarifai
S1vsS5,39.13,kNN-Clarifai
S2vsS1,65.09,kNN-Clarifai
S2vsS2,97.42,kNN-Clarifai
S2vsS3,57.03,kNN-Clarifai
S2vsS4,64.88,kNN-Clarifai
S2vsS5,33.5,kNN-Clarifai
S3vsS1,53.24,kNN-Clarifai
S3vsS2,55.69,kNN-Clarifai
S3vsS3,97.51,kNN-Clarifai
S3vsS4,45.5,kNN-Clarifai
S3vsS5,33.05,kNN-Clarifai
S4vsS1,62.2,kNN-Clarifai
S4vsS2,64.51,kNN-Clarifai
S4vsS3,50.8,kNN-Clarifai
S4vsS4,97.49,kNN-Clarifai
S4vsS5,36.27,kNN-Clarifai
S5vsS1,37.71,kNN-Clarifai
S5vsS2,33.57,kNN-Clarifai
S5vsS3,29.85,kNN-Clarifai
S5vsS4,31.35,kNN-Clarifai
S5vsS5,97.65,kNN-Clarifai
S1vsS1,100.0,RFs-PHOG
S1vsS2,61.08,RFs-PHOG
S1vsS3,52.0,RFs-PHOG
S1vsS4,61.85,RFs-PHOG
S1vsS5,31.79,RFs-PHOG
S2vsS1,63.54,RFs-PHOG
S2vsS2,100.0,RFs-PHOG
S2vsS3,57.12,RFs-PHOG
S2vsS4,65.77,RFs-PHOG
S2vsS5,30.24,RFs-PHOG
S3vsS1,53.87,RFs-PHOG
S3vsS2,59.64,RFs-PHOG
S3vsS3,100.0,RFs-PHOG
S3vsS4,52.51,RFs-PHOG
S3vsS5,30.23,RFs-PHOG
S4vsS1,63.08,RFs-PHOG
S4vsS2,67.15,RFs-PHOG
S4vsS3,50.31,RFs-PHOG
S4vsS4,100.0,RFs-PHOG
S4vsS5,32.12,RFs-PHOG
S5vsS1,49.14,RFs-PHOG
S5vsS2,42.74,RFs-PHOG
S5vsS3,37.32,RFs-PHOG
S5vsS4,39.29,RFs-PHOG
S5vsS5,100.0,RFs-PHOG
S1vsS1,99.96,RFs-GIST
S1vsS2,61.83,RFs-GIST
S1vsS3,58.23,RFs-GIST
S1vsS4,65.06,RFs-GIST
S1vsS5,35.69,RFs-GIST
